,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師,course_len,weather,race_type,ground_state,date,class,horse_id,jockey_id,通過,上り
202105030506,1,8,16,メディシス,牝3,54.0,中井裕二,0:1:17.5,,19.5,7.0,462,[西] 杉山佳明,1300,雨,ダート,重,2021年06月19日,未勝利,2018103303,01141,2-2,35.8
202105030506,2,4,7,サイレントギフト,牡3,56.0,石川裕紀,0:1:18.7,7,3.8,2.0,472,[東] 田村康仁,1300,雨,ダート,重,2021年06月19日,未勝利,2018103359,01150,3-5,36.6
202105030506,3,2,3,タマモアンドロメダ,牡3,56.0,武藤雅,0:1:18.9,1.1/4,5.5,4.0,496,[東] 水野貴広,1300,雨,ダート,重,2021年06月19日,未勝利,2018100574,01169,1-1,37.3
202105030506,4,8,15,フクノルッカ,牝3,54.0,戸崎圭太,0:1:19.1,3/4,3.3,1.0,440,[東] 杉浦宏昭,1300,雨,ダート,重,2021年06月19日,未勝利,2018100299,05386,15-14,36.3
202105030506,5,1,2,ラロワイヤル,牡3,56.0,内田博幸,0:1:19.1,ハナ,46.7,9.0,506,[東] 奥村武,1300,雨,ダート,重,2021年06月19日,未勝利,2018102239,00422,10-9,36.7
202105030506,6,3,5,ケイセブン,牡3,56.0,丸山元気,0:1:19.1,アタマ,15.8,6.0,414,[西] 羽月友彦,1300,雨,ダート,重,2021年06月19日,未勝利,2018105332,01127,3-3,37.2
202105030506,7,6,12,リーガルゲイリー,牝3,54.0,宮崎北斗,0:1:19.1,クビ,355.0,16.0,434,[東] 青木孝文,1300,雨,ダート,重,2021年06月19日,未勝利,2018104349,01118,3-3,37.3
202105030506,8,4,8,ガウナエルフリーデ,牝3,54.0,津村明秀,0:1:19.1,アタマ,4.5,3.0,456,[東] 鈴木伸尋,1300,雨,ダート,重,2021年06月19日,未勝利,2018101740,01092,6-6,36.9
202105030506,9,1,1,シャイニングマーズ,牡3,56.0,北村宏司,0:1:19.2,クビ,45.3,8.0,498,[東] 伊藤大士,1300,雨,ダート,重,2021年06月19日,未勝利,2018103667,01043,6-6,37.0
202105030506,10,2,4,ノーデザイア,牝3,51.0,小林脩斗,0:1:19.3,1/2,88.1,11.0,434,[東] 久保田貴,1300,雨,ダート,重,2021年06月19日,未勝利,2018104227,01183,6-8,37.0
202105030506,11,3,6,ラシャトレーン,牝3,51.0,永野猛蔵,0:1:19.5,1,72.1,10.0,460,[東] 小島茂之,1300,雨,ダート,重,2021年06月19日,未勝利,2018101500,01188,10-11,36.9
202105030506,12,5,10,キタノドンポートロ,牝3,54.0,武士沢友,0:1:19.6,3/4,15.1,5.0,478,[東] 高橋裕,1300,雨,ダート,重,2021年06月19日,未勝利,2018102206,01029,13-14,36.7
202105030506,13,7,14,グラスクアドラ,牡3,53.0,原優介,0:1:20.1,3,96.4,13.0,438,[東] 松山将樹,1300,雨,ダート,重,2021年06月19日,未勝利,2018103584,01184,15-12,37.4
202105030506,14,5,9,ジョージバローズ,セ3,55.0,菅原明良,0:1:20.1,1/2,89.2,12.0,464,[西] 清水久詞,1300,雨,ダート,重,2021年06月19日,未勝利,2018102864,01179,6-9,37.7
202105030506,15,7,13,イソエイヒカリ,牡3,56.0,木幡巧也,0:1:20.9,5,276.0,15.0,478,[東] 松山将樹,1300,雨,ダート,重,2021年06月19日,未勝利,2018105945,01162,13-14,38.0
202105030506,16,6,11,リヴァーシャノン,牝3,54.0,木幡初也,0:1:20.9,クビ,101.0,14.0,462,[東] 粕谷昌央,1300,雨,ダート,重,2021年06月19日,未勝利,2018106576,01153,10-12,38.2
