,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,調教師,course_len,weather,race_type,ground_state,date,class,horse_id,jockey_id
202605030109,1,6,8,エリプティクカーブ,牡3,54,横山武史,0:2:24.6,,2-2-2-2,33.5,3.7,2,474,[東]大竹正博,2400,晴,芝,良,2026年06月06日,1勝クラス,2023103908,01170
202605030109,2,7,10,ウップヘリーア,牡3,54,ルメール,0:2:25.0,2.1/2,3-3-3-3,33.8,2.1,1,496,[東]黒岩陽一,2400,晴,芝,良,2026年06月06日,1勝クラス,2023107228,05339
202605030109,3,7,9,サンセットビュー,牝5,56,ディー,0:2:25.1,1/2,5-5-4-4,33.8,25.8,6,474,[西]新谷功一,2400,晴,芝,良,2026年06月06日,1勝クラス,2021104103,05674
202605030109,4,5,5,ゲンジ,牡4,58,ゴンサル,0:2:25.1,クビ,6-7-6-7,33.6,35.6,7,426,[東]尾形和幸,2400,晴,芝,良,2026年06月06日,1勝クラス,2022105597,05675
202605030109,5,8,12,イブキ,牡3,54,横山和生,0:2:25.2,クビ,11-11-11-10,33.4,3.9,3,460,[東]矢野英一,2400,晴,芝,良,2026年06月06日,1勝クラス,2023105248,01140
202605030109,6,3,3,ヴォートセレスト,牡3,54,石川裕紀,0:2:25.3,1,4-4-4-4,33.9,18.0,5,508,[東]奥村武,2400,晴,芝,良,2026年06月06日,1勝クラス,2023106843,01150
202605030109,7,1,1,トラストボス,牡5,58,三浦皇成,0:2:25.3,ハナ,8-8-6-4,34.0,52.1,9,442,[東]高橋文雅,2400,晴,芝,良,2026年06月06日,1勝クラス,2021106972,01122
202605030109,8,8,11,オリオアルセーリオ,牝4,56,北村宏司,0:2:25.4,クビ,10-10-9-8,33.8,125.5,11,420,[東]木村哲也,2400,晴,芝,良,2026年06月06日,1勝クラス,2022105132,01043
202605030109,9,2,2,ニシノヒノトリ,牡3,54,津村明秀,0:2:25.9,3,6-6-6-8,34.3,13.5,4,490,[東]手塚貴久,2400,晴,芝,良,2026年06月06日,1勝クラス,2023106254,01092
202605030109,10,6,7,ガンバルマン,牡4,58,菅原明良,0:2:25.9,アタマ,12-12-12-12,33.9,43.3,8,480,[東]萱野浩二,2400,晴,芝,良,2026年06月06日,1勝クラス,2022101307,01179
202605030109,11,4,4,リアライズオーラム,セ4,58,荻野極,0:2:26.0,クビ,1-1-1-1,34.9,56.9,10,508,[東]上原佑紀,2400,晴,芝,良,2026年06月06日,1勝クラス,2022105773,01160
202605030109,12,5,6,リリエンフェルト,牝5,56,原田和真,0:2:26.4,2.1/2,8-8-9-10,34.6,179.5,12,470,[東]上原博之,2400,晴,芝,良,2026年06月06日,1勝クラス,2021104927,01143
