,着順,枠,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝,上り,通過,厩舎,馬体重
202605030504,1,2,2,ルークウォーム,牝2,55.0,津村,0:1:22.3,,1,2.7,33.9,1-1,美浦 手塚久,448(0)
202605030504,2,1,1,インサイドエッジ,牝2,55.0,ゴンサ,0:1:22.7,2.1/2,8,38.1,33.6,5-5,美浦 和田勇,430(0)
202605030504,3,8,11,ユリア,牝2,55.0,荻野極,0:1:22.7,クビ,6,15.6,34.2,2-2,美浦 久保田,460(0)
202605030504,4,8,10,ゴールデンハニビー,牝2,55.0,ルメー,0:1:23.4,4,3,4.8,34.2,5-6,美浦 黒岩,476(0)
202605030504,5,7,9,ニクスルーナ,牝2,55.0,松山,0:1:23.5,1,2,3.2,34.7,3-3,栗東 高柳大,498(0)
202605030504,6,7,8,スターリーデー,牝2,53.0,◇今村,0:1:23.7,1,5,11.7,34.3,8-8,栗東 茶木,460(0)
202605030504,7,6,7,パストザクラウン,牝2,55.0,原,0:1:23.7,アタマ,10,75.5,34.0,9-9,栗東 高橋忠,450(0)
202605030504,8,5,5,ソプラノクイーン,牝2,55.0,戸崎圭,0:1:24.1,2.1/2,4,8.1,34.4,10-9,美浦 中舘,434(0)
202605030504,9,3,3,アフィーリア,牝2,55.0,三浦,0:1:24.1,ハナ,7,33.9,34.2,11-11,美浦 浅利,468(0)
202605030504,10,6,6,エルシオン,牝2,55.0,横山典,0:1:24.2,1/2,9,58.2,34.9,7-7,美浦 柄崎,422(0)
202605030504,11,4,4,オーケーマドンナ,牝2,55.0,菊沢,0:1:24.9,4,11,86.2,36.0,3-4,美浦 相沢,458(0)
