,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師,course_len,weather,race_type,ground_state,date,class,horse_id,jockey_id,通過,上り
201906010209,1,8,12,ウラヌスチャーム,牝4,54.0,マーフィ,0:2:14.1,,2.6,1.0,500,[東] 斎藤誠,2200,曇,芝,良,2019年01月06日,,2015104671,05575,8-7-7-6,34.3
201906010209,2,3,3,ロサグラウカ,牝4,54.0,丸山元気,0:2:14.1,クビ,5.8,3.0,450,[東] 尾関知人,2200,曇,芝,良,2019年01月06日,,2015105108,01127,3-3-3-3,34.6
201906010209,3,4,4,クレッシェンドラヴ,牡5,57.0,内田博幸,0:2:14.3,1,6.2,4.0,488,[東] 林徹,2200,曇,芝,良,2019年01月06日,,2014104386,00422,7-7-5-4,34.6
201906010209,4,2,2,フェイズベロシティ,牝6,55.0,北村宏司,0:2:14.4,1/2,16.2,6.0,464,[東] 萩原清,2200,曇,芝,良,2019年01月06日,,2013105945,01043,9-9-10-8,34.3
201906010209,5,5,5,ビッグスモーキー,牡4,56.0,大野拓弥,0:2:14.4,アタマ,17.6,7.0,538,[西] 清水久詞,2200,曇,芝,良,2019年01月06日,,2015104384,01096,2-2-2-2,35.1
201906010209,6,7,9,ダノンキングダム,牡5,57.0,三浦皇成,0:2:14.4,アタマ,6.4,5.0,488,[西] 安田隆行,2200,曇,芝,良,2019年01月06日,,2014105836,01122,1-1-1-1,35.2
201906010209,7,1,1,ギブアンドテイク,セ8,57.0,岩田康誠,0:2:14.6,1.1/4,36.3,8.0,478,[東] 鹿戸雄一,2200,曇,芝,良,2019年01月06日,,2011106405,05203,5-5-3-4,35.1
201906010209,8,5,6,エクセレントミスズ,牡6,57.0,横山典弘,0:2:14.7,3/4,58.7,9.0,464,[西] 藤沢則雄,2200,曇,芝,良,2019年01月06日,,2013105031,00660,9-9-7-8,34.8
201906010209,9,8,11,パイオニアバイオ,牝4,54.0,柴田善臣,0:2:14.7,クビ,4.9,2.0,438,[東] 牧光二,2200,曇,芝,良,2019年01月06日,,2015104664,00641,3-3-5-6,35.0
201906010209,10,7,10,グランドサッシュ,牡8,57.0,津村明秀,0:2:15.1,2.1/2,66.5,10.0,472,[東] 武市康男,2200,曇,芝,良,2019年01月06日,,2011103702,01092,5-5-7-10,35.2
201906010209,11,6,7,ウインブルーローズ,牡7,57.0,丹内祐次,0:2:15.4,2,411.9,12.0,496,[東] 高橋祥泰,2200,曇,芝,良,2019年01月06日,,2012106200,01091,11-11-12-10,35.1
201906010209,12,6,8,デルマサリーチャン,牝8,55.0,武士沢友,0:2:15.8,2.1/2,401.3,11.0,500,[東] 堀井雅広,2200,曇,芝,良,2019年01月06日,,2011100822,01029,11-11-10-12,35.6
