,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,調教師,course_len,weather,race_type,ground_state,date,class,horse_id,jockey_id
202606040212,1,2,3,アイムインディ,牝3,54,ルメール,0:1:10.0,,4-3,35.6,4.5,2,456,[東]蛯名正義,1200,雨,芝,重,2026年09月06日,,2023105263,05339
202606040212,2,4,7,カシオペア,牡4,58,石橋脩,0:1:10.1,クビ,7-6,35.5,9.1,5,532,[東]上原佑紀,1200,雨,芝,重,2026年09月06日,,2022106203,01077
202606040212,3,8,16,エバーラスト,牡3,54,石神深道,0:1:10.2,1/2,4-6,35.8,17.5,8,500,[東]和田正一,1200,雨,芝,重,2026年09月06日,,2023104764,01209
202606040212,4,1,1,ダイユウヴェンティ,牝3,54,団野大成,0:1:10.5,1.3/4,7-6,35.9,20.4,9,434,[東]松永康利,1200,雨,芝,重,2026年09月06日,,2023105102,01180
202606040212,5,1,2,ファインサマーデイ,牡3,56,津村明秀,0:1:10.5,アタマ,4-3,36.1,3.6,1,456,[東]高柳瑞樹,1200,雨,芝,重,2026年09月06日,,2023101169,01092
202606040212,6,6,11,ラエトゥス,牝3,54,北村友一,0:1:10.5,クビ,16-16,34.7,32.6,10,470,[東]斎藤誠,1200,雨,芝,重,2026年09月06日,,2023106845,01102
202606040212,7,3,5,ルシェロアズーリ,牝4,53,佐藤翔馬,0:1:10.6,アタマ,1-1,36.5,11.2,6,448,[東]鈴木伸尋,1200,雨,芝,重,2026年09月06日,,2022105996,01207
202606040212,8,3,6,ホウオウショコラ,牝4,53,上里直汰,0:1:10.6,クビ,2-2,36.4,6.2,3,496,[東]大竹正博,1200,雨,芝,重,2026年09月06日,,2022101108,01217
202606040212,9,7,13,ココボロ,牝5,56,嶋田純次,0:1:10.8,1.1/4,12-13,35.7,115.5,15,518,[東]松山将樹,1200,雨,芝,重,2026年09月06日,,2021106419,01134
202606040212,10,4,8,ジュエルドレーサー,牡5,58,原優介,0:1:11.0,3/4,9-9,36.2,54.9,11,502,[東]蛯名利弘,1200,雨,芝,重,2026年09月06日,,2021100478,01184
202606040212,11,8,15,クラディスティーナ,牡3,56,木幡巧也,0:1:11.2,1.1/4,11-11,36.3,76.3,13,488,[東]清水英克,1200,雨,芝,重,2026年09月06日,,2023100796,01162
202606040212,12,5,9,カイトグート,牝5,56,柴田大知,0:1:11.3,1/2,12-11,36.3,67.7,12,466,[東]和田雄二,1200,雨,芝,重,2026年09月06日,,2021106308,01009
202606040212,13,2,4,ブライティアブーケ,牝4,56,大野拓弥,0:1:11.3,ハナ,9-9,36.5,14.8,7,426,[東]中舘英二,1200,雨,芝,重,2026年09月06日,,2022102465,01096
202606040212,14,5,10,マイネルユーゲント,牡3,56,三浦皇成,0:1:11.3,ハナ,3-3,37.0,8.1,4,454,[東]加藤士津,1200,雨,芝,重,2026年09月06日,,2023100143,01122
202606040212,15,7,14,ヴィヴァラリス,牝4,54,石田拓郎,0:1:11.6,2,15-15,36.1,203.3,16,414,[東]尾関知人,1200,雨,芝,重,2026年09月06日,,2022102749,01203
202606040212,16,6,12,メーゼ,牝3,54,菊沢一樹,0:1:11.7,1/2,12-13,36.6,96.9,14,436,[東]菊沢隆徳,1200,雨,芝,重,2026年09月06日,,2023106176,01161
