,着順,枠,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝,上り,通過,厩舎,馬体重,race_type,course_len,ground_state,class
202606040601,1,5,8,ウィンターブリーズ,牡2,55.0,ルメー,0:1:50.0,,1,1.4,37.5,,美浦 田中博,482(+4),ダート,1800,重,未勝利
202606040601,2,3,4,ノシェリー,牡2,55.0,原,0:1:50.5,3,2,5.9,36.8,,美浦 鈴木慎,478(+12),ダート,1800,重,未勝利
202606040601,3,8,15,ラインホルト,牡2,55.0,津村,0:1:51.2,4,4,12.8,37.8,,美浦 手塚徳,502(-2),ダート,1800,重,未勝利
202606040601,4,4,6,オーケーエース,牡2,55.0,横山琉,0:1:53.5,大,3,11.6,41.1,,美浦 相沢,454(+4),ダート,1800,重,未勝利
202606040601,5,3,5,サイモントレノ,牡2,53.0,◇小林美,0:1:54.0,3,13,122.5,39.1,,美浦 奥平,462(-6),ダート,1800,重,未勝利
202606040601,6,2,3,コスモセイント,牡2,54.0,☆長浜,0:1:54.1,クビ,12,115.7,40.7,,美浦 矢嶋,470(-10),ダート,1800,重,未勝利
202606040601,7,6,11,ニシノハクシャ,牡2,55.0,野中,0:1:54.1,クビ,15,209.2,39.9,,美浦 清水英,432(0),ダート,1800,重,未勝利
202606040601,8,7,12,サスケソルトバーン,牡2,52.0,▲佐藤,0:1:54.6,3,10,51.2,39.2,,美浦 和田雄,474(-2),ダート,1800,重,未勝利
202606040601,9,4,7,ゴルトシェーン,牡2,53.0,△石神道,0:1:54.6,アタマ,11,82.6,41.2,,美浦 武井,472(0),ダート,1800,重,未勝利
202606040601,10,7,13,ミクニルミナス,牡2,55.0,内田博,0:1:55.6,6,14,155.0,40.2,,美浦 田中勝,470(+8),ダート,1800,重,未勝利
202606040601,11,8,14,コーズウルルン,牡2,55.0,菊沢,0:1:56.1,3,8,32.4,41.4,,美浦 伊藤圭,476(-12),ダート,1800,重,未勝利
202606040601,12,1,1,イカルステソーロ,牡2,55.0,丹内,0:1:56.8,4,6,28.8,43.0,,美浦 武市,480(-2),ダート,1800,重,未勝利
202606040601,13,2,2,アイビークロノス,牡2,55.0,木幡巧,0:1:57.5,4,7,29.1,42.7,,美浦 牧,480(-2),ダート,1800,重,未勝利
202606040601,14,6,10,ニシノツムジカゼ,牡2,55.0,ミシェ,0:1:57.6,1/2,9,32.9,43.7,,美浦 西田,502(-4),ダート,1800,重,未勝利
202606040601,15,5,9,リュウノタキノボリ,牡2,55.0,佐々木,0:1:58.4,5,5,17.2,45.2,,美浦 堀内,498(-2),ダート,1800,重,未勝利
