,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師,course_len,weather,race_type,ground_state,date,class,horse_id,jockey_id,通過,上り
202007010812,1,5,10,ニューモニュメント,牡4,57.0,三浦皇成,0:1:21.9,,6.5,4.0,486,[西] 小崎憲,1400,晴,ダート,不良,2020年03月29日,2勝クラス,2016105885,01122,13-11,35.2
202007010812,2,8,16,グレートウォリアー,牡5,57.0,北村友一,0:1:22.0,1/2,4.2,1.0,512,[西] 藤原英昭,1400,晴,ダート,不良,2020年03月29日,2勝クラス,2015104975,01102,6-4,36.2
202007010812,3,6,12,デルタバローズ,セ5,57.0,藤岡佑介,0:1:22.0,クビ,7.2,5.0,512,[東] 堀宣行,1400,晴,ダート,不良,2020年03月29日,2勝クラス,2015110070,01093,2-2,36.5
202007010812,4,3,5,ダンケシェーン,セ5,57.0,福永祐一,0:1:22.5,3,6.3,3.0,478,[西] 昆貢,1400,晴,ダート,不良,2020年03月29日,2勝クラス,2015100894,01014,8-7,36.4
202007010812,5,3,6,フクノグリュック,牡8,57.0,田辺裕信,0:1:22.6,クビ,33.8,11.0,526,[東] 杉浦宏昭,1400,晴,ダート,不良,2020年03月29日,2勝クラス,2012101232,01075,16-16,35.4
202007010812,6,2,3,ライトオブピース,牡6,57.0,丸山元気,0:1:22.7,1/2,57.1,14.0,490,[西] 佐々木晶,1400,晴,ダート,不良,2020年03月29日,2勝クラス,2014100584,01127,15-15,35.7
202007010812,7,8,15,オールウェイズゼア,牡6,57.0,国分優作,0:1:22.9,1.1/4,36.3,12.0,482,[東] 大江原哲,1400,晴,ダート,不良,2020年03月29日,2勝クラス,2014104192,01125,8-7,36.8
202007010812,8,7,14,ラブリーイレブン,牝5,55.0,池添謙一,0:1:23.0,1/2,12.8,6.0,452,[西] 坂口智康,1400,晴,ダート,不良,2020年03月29日,2勝クラス,2015101829,01032,12-11,36.5
202007010812,9,1,1,プタハ,牡5,57.0,岩田康誠,0:1:23.1,1/2,5.7,2.0,526,[東] 斎藤誠,1400,晴,ダート,不良,2020年03月29日,2勝クラス,2015101348,05203,4-4,37.4
202007010812,10,5,9,クリノアントニヌス,牡6,57.0,和田竜二,0:1:23.1,アタマ,15.5,7.0,528,[西] 川村禎彦,1400,晴,ダート,不良,2020年03月29日,2勝クラス,2014102122,01018,10-10,36.8
202007010812,11,7,13,イッツリット,牡4,57.0,酒井学,0:1:23.1,クビ,28.3,10.0,490,[東] 和田正一,1400,晴,ダート,不良,2020年03月29日,2勝クラス,2016110133,01034,4-4,37.5
202007010812,12,6,11,ジャスパーモア,牝5,55.0,森裕太朗,0:1:23.2,クビ,154.5,16.0,512,[西] 森秀行,1400,晴,ダート,不良,2020年03月29日,2勝クラス,2015110075,01165,6-7,37.4
202007010812,13,2,4,クラシコ,牡8,57.0,ヒューイ,0:1:23.4,1.1/4,19.6,9.0,512,[西] 橋口慎介,1400,晴,ダート,不良,2020年03月29日,2勝クラス,2012104581,05596,1-1,38.2
202007010812,14,4,7,サンタナブルー,牡8,57.0,柴田大知,0:1:23.4,クビ,131.8,15.0,488,[東] 和田雄二,1400,晴,ダート,不良,2020年03月29日,2勝クラス,2012102503,01009,13-11,36.7
202007010812,15,4,8,ポルタメント,牡4,57.0,松若風馬,0:1:23.9,3,17.4,8.0,464,[東] 中舘英二,1400,晴,ダート,不良,2020年03月29日,2勝クラス,2016101313,01154,2-2,38.4
202007010812,16,1,2,スカルバン,牡6,57.0,松山弘平,0:1:24.6,4,51.8,13.0,502,[東] 武井亮,1400,晴,ダート,不良,2020年03月29日,2勝クラス,2014104144,01126,10-11,38.3
