,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,調教師,course_len,weather,race_type,ground_state,date,class,horse_id,jockey_id
202607010511,1,1,2,ルージュソリテール,牝4,56,西塚洸二,0:1:32.2,,4-4-4,34.0,2.9,1,428,[西]藤原英昭,1600,晴,芝,良,2026年03月28日,3勝クラス,2022105157,01200
202607010511,2,6,12,ラーンザロープス,牝5,56,富田暁,0:1:32.3,3/4,3-3-3,34.2,8.7,4,464,[西]武幸四郎,1600,晴,芝,良,2026年03月28日,3勝クラス,2021105011,01168
202607010511,3,7,14,ピックアチェリー,牝5,56,吉田隼人,0:1:32.5,1.1/4,12-11-11,33.5,39.9,11,440,[東]和田正一,1600,晴,芝,良,2026年03月28日,3勝クラス,2021105121,01095
202607010511,4,8,15,ミエスペランサ,牝5,56,亀田温心,0:1:32.5,ハナ,10-9-9,33.7,93.6,16,450,[西]池江泰寿,1600,晴,芝,良,2026年03月28日,3勝クラス,2021105800,01176
202607010511,5,1,1,ミッキーツインクル,牝6,56,中井裕二,0:1:32.6,クビ,8-6-6,34.0,10.2,6,474,[西]中内田充,1600,晴,芝,良,2026年03月28日,3勝クラス,2020103487,01141
202607010511,6,3,6,マイエレメント,牝4,56,斎藤新,0:1:32.7,1/2,10-12-11,33.8,8.3,3,490,[西]福永祐一,1600,晴,芝,良,2026年03月28日,3勝クラス,2022101197,01178
202607010511,7,2,3,エポックヴィーナス,牝5,56,田口貫太,0:1:32.8,3/4,14-15-14,33.6,26.0,9,450,[西]新谷功一,1600,晴,芝,良,2026年03月28日,3勝クラス,2021104153,01208
202607010511,8,4,8,ウォーターガーベラ,牝4,56,高杉吏麒,0:1:32.8,ハナ,4-4-5,34.4,10.0,5,462,[西]石橋守,1600,晴,芝,良,2026年03月28日,3勝クラス,2022100403,01213
202607010511,9,7,13,ミラビリスマジック,牝5,56,小沢大仁,0:1:32.9,1/2,6-9-9,34.1,59.2,14,458,[東]千葉直人,1600,晴,芝,良,2026年03月28日,3勝クラス,2021105105,01185
202607010511,10,5,9,キタサンダムール,牝6,56,国分恭介,0:1:33.0,3/4,8-6-6,34.4,44.9,12,484,[西]清水久詞,1600,晴,芝,良,2026年03月28日,3勝クラス,2020102310,01124
202607010511,11,3,5,レオテミス,牝5,56,柴田裕一,0:1:33.2,1,2-2-2,35.2,79.1,15,508,[西]高柳大輔,1600,晴,芝,良,2026年03月28日,3勝クラス,2021101576,01212
202607010511,12,6,11,ハニーコム,牝5,56,浜中俊,0:1:33.5,1.3/4,6-6-6,34.9,49.0,13,438,[東]蛯名正義,1600,晴,芝,良,2026年03月28日,3勝クラス,2021100789,01115
202607010511,13,5,10,タガノアビー,牝4,56,古川吉洋,0:1:33.7,1.1/4,14-15-14,34.5,5.8,2,504,[西]千田輝彦,1600,晴,芝,良,2026年03月28日,3勝クラス,2022106562,01015
202607010511,14,8,16,コンドゥイア,牝4,56,池添謙一,0:1:33.7,クビ,1-1-1,35.9,26.4,10,488,[西]井上智史,1600,晴,芝,良,2026年03月28日,3勝クラス,2022100201,01032
202607010511,15,2,4,クリニクラウン,牝6,56,岩田康誠,0:1:34.0,2,12-13-11,35.0,17.4,8,492,[東]小手川準,1600,晴,芝,良,2026年03月28日,3勝クラス,2020100934,05203
202607010511,16,4,7,ジーティードレス,牝4,56,丸山元気,0:1:34.9,5,14-13-14,35.7,14.5,7,446,[西]辻野泰之,1600,晴,芝,良,2026年03月28日,3勝クラス,2022105988,01127
