,着順,枠,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝,上り,通過,厩舎,馬体重,race_type,course_len,ground_state,class
202607020706,1,8,10,フォーゲル,牡3,56.0,コレッ,0:1:07.3,,2,3.4,33.0,,栗東 斉藤崇,522(-6),芝,1200,良,２勝クラス
202607020706,2,6,7,トップアタック,牡3,56.0,坂井,0:1:07.4,1/2,1,3.3,33.7,,栗東 小椋,474(+6),芝,1200,良,２勝クラス
202607020706,3,7,8,ファイツオン,牡5,58.0,吉村,0:1:07.4,クビ,9,46.1,33.6,,栗東 藤岡健,506(0),芝,1200,良,２勝クラス
202607020706,4,5,5,パリコレジェンヌ,牝4,56.0,田口,0:1:07.6,1,5,9.9,33.1,,栗東 鈴木孝,466(+4),芝,1200,良,２勝クラス
202607020706,5,4,4,モンサンゴールデン,牡3,56.0,柴田裕,0:1:07.6,ハナ,7,15.2,33.2,,栗東 中竹,462(-16),芝,1200,良,２勝クラス
202607020706,6,3,3,ヒーローインチーフ,セ5,58.0,富田,0:1:07.6,クビ,8,16.4,33.0,,栗東 吉田,446(-2),芝,1200,良,２勝クラス
202607020706,7,7,9,シラヌイ,牝3,54.0,松山,0:1:07.8,1.1/4,3,5.1,33.7,,栗東 高橋亮,450(+2),芝,1200,良,２勝クラス
202607020706,8,2,2,ハルオーブ,牡6,58.0,酒井,0:1:08.0,1.1/4,10,54.7,33.3,,美浦 武井,472(0),芝,1200,良,２勝クラス
202607020706,9,6,6,タミゼ,牝5,56.0,幸,0:1:08.3,1.1/2,11,165.0,34.3,,栗東 平田,494(+24),芝,1200,良,２勝クラス
202607020706,10,8,11,インフローレ,牝4,56.0,岩田望,0:1:08.3,クビ,6,13.4,34.1,,栗東 寺島,442(-2),芝,1200,良,２勝クラス
202607020706,11,1,1,モンテディアーナ,牝4,56.0,団野,0:1:08.5,1.1/4,4,7.8,34.3,,栗東 四位,476(+8),芝,1200,良,２勝クラス
