,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師,course_len,weather,race_type,ground_state,date,class,horse_id,jockey_id,通過,上り
202508030810,1,4,5,スリールミニョン,牝3,54,坂井瑠星,0:1:20.2,,5.5,4,458,[西]高橋康之,1400,曇,芝,良,2025年10月25日,3勝クラス,2022105755,01163,1-1,34.1
202508030810,2,8,13,スマートワイス,牡4,58,松山弘平,0:1:20.3,クビ,4.2,2,490,[西]大久保龍,1400,曇,芝,良,2025年10月25日,3勝クラス,2021105618,01126,4-4,33.9
202508030810,3,3,3,キタサンダムール,牝5,56,岩田望来,0:1:20.3,クビ,9.4,5,500,[西]清水久詞,1400,曇,芝,良,2025年10月25日,3勝クラス,2020102310,01174,4-4,33.8
202508030810,4,4,4,ケーブパール,牝4,56,小崎綾也,0:1:20.3,ハナ,4.8,3,430,[西]友道康夫,1400,曇,芝,良,2025年10月25日,3勝クラス,2021105161,01152,10-10,33.0
202508030810,5,2,2,ヤマニンアストロン,牡4,58,高杉吏麒,0:1:20.3,クビ,14.5,7,494,[西]石橋守,1400,曇,芝,良,2025年10月25日,3勝クラス,2021106594,01213,6-6,33.5
202508030810,6,6,9,レディマリオン,牝4,56,吉村誠之,0:1:20.4,1/2,3.7,1,450,[西]長谷川浩,1400,曇,芝,良,2025年10月25日,3勝クラス,2021105752,01216,2-2,34.2
202508030810,7,1,1,サクセスアイ,牝5,56,池添謙一,0:1:20.5,1/2,10.8,6,450,[西]北出成人,1400,曇,芝,良,2025年10月25日,3勝クラス,2020105354,01032,2-2,34.2
202508030810,8,8,12,ルミノメテオール,牝5,56,岩田康誠,0:1:20.7,1.1/2,64.8,11,456,[東]金成貴史,1400,曇,芝,良,2025年10月25日,3勝クラス,2020104332,05203,6-6,33.9
202508030810,9,6,8,ジョディーズマロン,牡7,58,菱田裕二,0:1:20.9,1.1/4,59.9,10,470,[西]北出成人,1400,曇,芝,良,2025年10月25日,3勝クラス,2018101989,01144,13-13,33.0
202508030810,10,7,10,アバンチュリエ,セ6,58,柴田善臣,0:1:21.1,3/4,158.5,13,476,[東]大竹正博,1400,曇,芝,良,2025年10月25日,3勝クラス,2019105347,00641,8-8,34.0
202508030810,11,5,7,ウインスノーライト,牡5,58,長岡禎仁,0:1:21.2,1,49.8,9,496,[西]宮徹,1400,曇,芝,良,2025年10月25日,3勝クラス,2020105198,01142,11-11,33.7
202508030810,12,5,6,シークレットキー,牡4,58,田口貫太,0:1:21.3,3/4,101.3,12,498,[西]井上智史,1400,曇,芝,良,2025年10月25日,3勝クラス,2021105489,01208,12-12,33.6
202508030810,13,7,11,フライングブレード,牡5,58,浜中俊,0:1:21.6,1.1/2,47.6,8,486,[西]飯田祐史,1400,曇,芝,良,2025年10月25日,3勝クラス,2020100906,01115,8-8,34.5
