,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,調教師,course_len,weather,race_type,ground_state,date,class,horse_id,jockey_id
202608030803,1,3,3,ヒラボクソライア,牡3,57,角田大和,0:2:01.2,,4-4-2-1,39.0,9.1,5,520,[西]東田明士,1900,晴,ダート,良,2026年05月17日,未勝利,2023102124,01186
202608030803,2,6,8,キタノトレボーネ,牡3,57,中井裕二,0:2:01.5,2,5-5-3-3,38.9,5.1,3,468,[西]坂口智康,1900,晴,ダート,良,2026年05月17日,未勝利,2023100664,01141
202608030803,3,1,1,クリコバロー,牡3,57,酒井学,0:2:01.7,1,9-9-8-8,37.8,27.9,7,486,[西]渡辺薫彦,1900,晴,ダート,良,2026年05月17日,未勝利,2023101412,01034
202608030803,4,8,12,ロスニーニョス,牡3,57,秋山稔樹,0:2:02.4,4,8-7-7-5,38.7,122.0,10,464,[西]大根田裕,1900,晴,ダート,良,2026年05月17日,未勝利,2023103280,01181
202608030803,5,7,10,ジャストグレース,牡3,57,国分優作,0:2:02.5,3/4,9-9-9-9,38.3,139.1,11,490,[西]大根田裕,1900,晴,ダート,良,2026年05月17日,未勝利,2023102517,01125
202608030803,6,7,9,アスクハッピーマン,牡3,55,古川奈穂,0:2:03.6,7,1-1-1-2,41.5,4.0,2,484,[西]矢作芳人,1900,晴,ダート,良,2026年05月17日,未勝利,2023103190,01190
202608030803,7,5,6,サマーナジュム,牡3,57,佐々木大,0:2:03.8,1,2-3-4-6,40.4,51.8,8,494,[西]角田晃一,1900,晴,ダート,良,2026年05月17日,未勝利,2023104379,01197
202608030803,8,6,7,マテンロウプリンス,牡3,57,太宰啓介,0:2:04.4,3.1/2,2-2-4-6,41.0,21.9,6,442,[西]坂口智康,1900,晴,ダート,良,2026年05月17日,未勝利,2023104652,01037
202608030803,9,8,11,サトノトリニティ,牡3,57,高杉吏麒,0:2:05.5,7,11-11-11-11,38.9,7.6,4,504,[西]池江泰寿,1900,晴,ダート,良,2026年05月17日,未勝利,2023107272,01213
202608030803,10,5,5,マーゴットショット,牡3,57,荻野琢真,0:2:05.5,クビ,5-5-4-4,42.2,74.6,9,456,[西]小林真也,1900,晴,ダート,良,2026年05月17日,未勝利,2023100899,01112
202608030803,11,2,2,ラスカルキッド,セ3,55,田山旺佑,0:2:05.5,ハナ,7-7-10-10,40.5,197.3,12,478,[西]中竹和也,1900,晴,ダート,良,2026年05月17日,未勝利,2023110033,01220
202608030803,中,4,4,ウィムーヴ,牡3,57,岩田康誠,0:,,,,2.2,1,528,[西]上村洋行,1900,晴,ダート,良,2026年05月17日,未勝利,2023107519,05203
