,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師,course_len,weather,race_type,ground_state,date,class,horse_id,jockey_id,通過,上り
201909010701,1,7,9,レディマドンナ,牝3,54.0,武豊,0:1:54.9,,5.6,2.0,454,[西] 角居勝彦,1800,曇,ダート,稍重,2019年03月16日,未勝利,2016105687,00666,6-6-4-1,36.5
201909010701,2,6,7,スティングレイ,牡3,56.0,川田将雅,0:1:54.9,クビ,2.1,1.0,512,[西] 須貝尚介,1800,曇,ダート,稍重,2019年03月16日,未勝利,2016104765,01088,2-2-1-2,36.8
201909010701,3,5,5,ヒリュウコウスイ,牡3,56.0,幸英明,0:1:56.0,7,7.7,5.0,502,[西] 西橋豊治,1800,曇,ダート,稍重,2019年03月16日,未勝利,2016100006,00732,8-8-6-2,37.5
201909010701,4,1,1,キービジュアル,牡3,56.0,シュタル,0:1:56.7,4,5.8,3.0,522,[西] 庄野靖志,1800,曇,ダート,稍重,2019年03月16日,未勝利,2016104461,05115,3-3-4-5,38.4
201909010701,5,8,11,ナムラシンゲキ,牡3,56.0,藤岡佑介,0:1:57.4,4,10.6,6.0,532,[西] 長谷川浩,1800,曇,ダート,稍重,2019年03月16日,未勝利,2016101800,01093,3-3-2-2,39.2
201909010701,6,4,4,ヴェイパライズ,牡3,55.0,富田暁,0:1:57.8,2.1/2,6.6,4.0,452,[西] 中竹和也,1800,曇,ダート,稍重,2019年03月16日,未勝利,2016102895,01168,6-6-6-7,39.4
201909010701,7,3,3,ユーバーファル,牡3,56.0,田中学,0:1:58.1,2,111.9,9.0,508,[西] 石橋守,1800,曇,ダート,稍重,2019年03月16日,未勝利,2016102554,05217,10-9-10-10,39.3
201909010701,8,8,10,バトルウインリンク,牝3,54.0,太宰啓介,0:1:58.3,1,55.5,8.0,438,[西] 奥村豊,1800,曇,ダート,稍重,2019年03月16日,未勝利,2016106414,01037,8-9-9-8,39.6
201909010701,9,6,6,トウケイピン,セ3,55.0,加藤祥太,0:1:58.8,3,42.2,7.0,482,[西] 湯窪幸雄,1800,曇,ダート,稍重,2019年03月16日,未勝利,2016106464,01156,5-5-6-8,40.2
201909010701,10,7,8,ユウチャージ,牝3,51.0,団野大成,0:1:59.2,2.1/2,240.6,10.0,494,[西] 森秀行,1800,曇,ダート,稍重,2019年03月16日,未勝利,2016102145,01180,1-1-2-5,41.1
201909010701,除,2,2,ヒュミドール,牡3,56.0,岩崎翼,,,---,,478,[西] 武幸四郎,1800,曇,ダート,稍重,2019年03月16日,未勝利,2016102201,01146,,
