,着順,枠,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝,上り,通過,厩舎,馬体重,race_type,course_len,ground_state,class
202609040401,1,4,4,ウンディーネ,牝2,55.0,坂井,0:1:27.2,,1,2.8,38.4,,栗東 井上,466(+4),ダート,1400,良,未勝利
202609040401,2,8,11,スティルラブハー,牡2,55.0,西村淳,0:1:28.4,7,2,3.1,40.0,,栗東 杉山佳,496(0),ダート,1400,良,未勝利
202609040401,3,1,1,ウィザードシチー,牡2,55.0,亀田,0:1:28.5,1/2,6,16.0,39.3,,栗東 北出,454(-10),ダート,1400,良,未勝利
202609040401,4,5,5,ヘスティア,牝2,55.0,角田和,0:1:28.7,1.1/4,3,5.5,39.9,,栗東 高橋亮,464(-4),ダート,1400,良,未勝利
202609040401,5,8,10,ダイシンレジウス,牡2,55.0,吉村,0:1:28.8,1/2,7,19.7,40.5,,栗東 梅田,478(-4),ダート,1400,良,未勝利
202609040401,6,6,7,シュライアハフト,牡2,55.0,佐々木,0:1:28.9,1/2,4,7.8,40.2,,栗東 小栗,486(+4),ダート,1400,良,未勝利
202609040401,7,7,8,ルミナスシェリー,牝2,51.0,★河原田,0:1:28.9,ハナ,8,31.6,40.3,,栗東 柴田,450(0),ダート,1400,良,未勝利
202609040401,8,7,9,ラブシンフォニー,牝2,55.0,幸,0:1:29.1,1.1/4,9,34.4,40.3,,栗東 藤野,456(+4),ダート,1400,良,未勝利
202609040401,9,3,3,カクシンゴールド,牡2,53.0,△柴田裕,0:1:30.1,6,11,164.1,40.5,,栗東 中竹,464(+8),ダート,1400,良,未勝利
202609040401,10,2,2,ダイメイアゲイン,牡2,55.0,川須,0:1:31.5,9,10,80.8,41.8,,栗東 秋山,468(+2),ダート,1400,良,未勝利
202609040401,11,6,6,スイトーヨ,牝2,53.0,◇永島,0:1:32.4,5,5,13.1,42.8,,栗東 角田,446(+2),ダート,1400,良,未勝利
