,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師,course_len,weather,race_type,ground_state,date,class,horse_id,jockey_id,通過,上り
202510020105,1,7,12,カラクニダケ,牡2,55.0,幸英明,0:1:09.9,,2.0,1.0,476,[西] 谷潔,1200,晴,芝,良,2025年06月28日,新馬,2023109117,00732,2-2,35.2
202510020105,2,5,7,ウイントッペン,牡2,55.0,松山弘平,0:1:10.1,1.1/4,3.5,2.0,474,[西] 西園正都,1200,晴,芝,良,2025年06月28日,新馬,2023109092,01126,1-1,35.5
202510020105,3,4,5,ダイチノナポリ,牝2,55.0,太宰啓介,0:1:10.6,3.1/2,12.3,5.0,428,[西] 畑端省吾,1200,晴,芝,良,2025年06月28日,新馬,2023109106,01037,4-3,35.6
202510020105,4,3,4,ファーストアタック,牡2,55.0,長岡禎仁,0:1:11.2,3.1/2,68.0,10.0,408,[西] 緒方努,1200,晴,芝,良,2025年06月28日,新馬,2023109150,01142,9-7,35.4
202510020105,5,1,1,ナンテヒダ,牡2,55.0,川須栄彦,0:1:11.4,1,5.2,3.0,444,[西] 中尾秀正,1200,晴,芝,良,2025年06月28日,新馬,2023109111,01128,4-3,36.4
202510020105,6,7,11,アクティングエリア,牝2,55.0,和田竜二,0:1:11.7,2,11.4,4.0,446,[東] 天間昭一,1200,晴,芝,良,2025年06月28日,新馬,2023109090,01018,4-5,36.7
202510020105,7,2,2,ラブデウザ,牝2,52.0,水沼元輝,0:1:12.6,5,41.3,6.0,392,[東] 加藤和宏,1200,晴,芝,良,2025年06月28日,新馬,2023109094,01201,2-6,37.8
202510020105,8,6,10,ニシノイーグレット,牡2,51.0,河原田菜,0:1:12.9,1.1/2,62.0,9.0,400,[東] 小手川準,1200,晴,芝,良,2025年06月28日,新馬,2023109169,01204,11-11,36.3
202510020105,9,4,6,カシノサスケ,牡2,55.0,和田翼,0:1:13.2,1.3/4,175.3,13.0,438,[西] 谷潔,1200,晴,芝,良,2025年06月28日,新馬,2023109128,01146,12-12,36.1
202510020105,10,8,14,コパノバハマ,牡2,53.0,今村聖奈,0:1:13.2,ハナ,43.8,7.0,442,[西] 松永幹夫,1200,晴,芝,良,2025年06月28日,新馬,2023109098,01193,10-10,37.2
202510020105,11,8,13,キリシマネロ,牡2,55.0,城戸義政,0:1:14.0,5,210.2,14.0,446,[東] 的場均,1200,晴,芝,良,2025年06月28日,新馬,2023109116,01147,8-7,38.5
202510020105,12,5,8,カシノアラート,牡2,55.0,亀田温心,0:1:15.6,10,158.2,11.0,488,[西] 北出成人,1200,晴,芝,良,2025年06月28日,新馬,2023109127,01176,13-13,37.9
202510020105,13,3,3,オテモヤン,牝2,55.0,小沢大仁,0:1:16.4,5,61.6,8.0,472,[東] 本間忍,1200,晴,芝,良,2025年06月28日,新馬,2023109104,01185,7-9,41.2
202510020105,14,6,9,ゴーゴーコクラ,牡2,55.0,黒岩悠,0:2:39.4,大,172.4,12.0,442,[西] 牧田和弥,1200,晴,芝,良,2025年06月28日,新馬,2023109093,01072,14-14,
