,着順,枠,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝,上り,通過,厩舎,馬体重
202610020204,1,5,10,メンデレーエフ,牡3,57.0,富田,0:1:46.8,,2,2.9,37.9,,栗東 野中,476(+4)
202610020204,2,7,13,ゴールデンドラゴン,牡3,57.0,松若,0:1:46.9,1/2,7,21.8,37.8,,栗東 宮本,450(-4)
202610020204,3,3,6,グリーンゴー,牡3,57.0,川田,0:1:47.2,2,1,1.9,37.9,,栗東 福永,484(+2)
202610020204,4,7,14,ジューンマーチ,牡3,55.0,◇永島,0:1:47.7,2.1/2,4,18.2,38.4,,栗東 松下,444(+4)
202610020204,5,6,12,バンダムソレール,牡3,55.0,△田山,0:1:47.7,クビ,5,19.3,38.2,,栗東 小栗,472(+4)
202610020204,6,2,3,キミガスキダ,牝3,55.0,藤懸,0:1:48.4,4,13,206.6,38.5,,栗東 牧田,426(0)
202610020204,7,1,2,レッドピアレス,牡3,57.0,西村淳,0:1:48.5,3/4,3,10.0,39.2,,栗東 中内田,460(-6)
202610020204,8,4,7,ゴールデンボブ,牡3,57.0,角田和,0:1:48.6,クビ,9,58.6,38.9,,栗東 四位,478(+2)
202610020204,9,4,8,グーフィー,牡3,57.0,長岡,0:1:48.7,1/2,6,21.5,38.9,,栗東 茶木,468(-4)
202610020204,10,8,15,ハイビッグゴールド,牡3,57.0,幸,0:1:49.0,2,14,231.0,39.1,,栗東 谷,478(-7)
202610020204,11,3,5,トモジャカトゥーラ,牝3,55.0,国分優,0:1:49.2,1.1/4,15,256.1,39.7,,栗東 大根田,486(+3)
202610020204,12,8,16,パスリヤージュ,牝3,55.0,城戸,0:1:50.3,7,12,174.5,40.1,,栗東 荒川,484(0)
202610020204,13,2,4,ジュピターバローズ,牡3,57.0,西塚,0:1:50.5,1.1/4,8,22.4,41.7,,栗東 友道,514(-8)
202610020204,14,5,9,リアライズステラ,牡3,57.0,酒井,0:1:50.5,クビ,11,137.2,41.0,,栗東 須貝,476(+4)
202610020204,15,6,11,ホッコームジカ,牝3,53.0,◇今村,0:1:50.9,2,10,94.1,40.2,,栗東 飯田,436(0)
202610020204,16,1,1,ブラックアイロン,牡3,54.0,▲川端,0:1:52.0,7,16,287.9,40.0,,栗東 浜田,506(0)
