,着順,枠,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝,上り,通過,厩舎,馬体重,race_type,course_len,ground_state,class
202610020607,1,3,4,オオツカ,牡3,55.0,高杉,0:1:46.0,,2,4.4,39.0,,栗東 大久保,444(+2),ダート,1700,良,１勝クラス
202610020607,2,3,5,ラブインアクション,牝3,53.0,西塚,0:1:46.3,2,1,3.6,40.0,,栗東 橋口,486(+16),ダート,1700,良,１勝クラス
202610020607,3,7,12,コルヴァス,牡3,55.0,川田,0:1:46.8,3,3,4.9,39.2,,栗東 矢作,494(+14),ダート,1700,良,１勝クラス
202610020607,4,2,3,メイショウオグマ,セ7,58.0,国分恭,0:1:46.9,3/4,9,25.7,38.3,,栗東 安達,488(+4),ダート,1700,良,１勝クラス
202610020607,5,4,7,キリオス,牡3,55.0,松山,0:1:47.0,クビ,5,9.1,40.0,,栗東 庄野,516(+10),ダート,1700,良,１勝クラス
202610020607,6,2,2,タマモスカイ,牡3,55.0,吉村,0:1:47.4,2.1/2,6,14.5,38.9,,栗東 茶木,490(+6),ダート,1700,良,１勝クラス
202610020607,7,7,13,テーオーノーベル,牡4,58.0,菱田,0:1:47.7,2,11,69.2,39.7,,栗東 岡田,492(+6),ダート,1700,良,１勝クラス
202610020607,8,6,10,ジュンプリメーロ,牡3,55.0,富田,0:1:47.8,1/2,8,22.4,40.0,,栗東 友道,490(+8),ダート,1700,良,１勝クラス
202610020607,9,6,11,ヴィエントデコラ,牡3,53.0,△田山,0:1:47.9,1/2,4,5.5,40.3,,栗東 寺島,448(+4),ダート,1700,良,１勝クラス
202610020607,10,8,15,エアフォースワン,牡7,58.0,川須,0:1:48.0,1/2,7,21.2,39.7,,栗東 大根田,482(-2),ダート,1700,良,１勝クラス
202610020607,11,4,6,リアルペガサス,牡5,55.0,▲森田,0:1:48.2,3/4,14,131.6,40.0,,栗東 大橋,460(-4),ダート,1700,良,１勝クラス
202610020607,12,8,14,ニシノミチアキ,牡4,58.0,幸,0:1:49.3,7,13,98.6,42.1,,栗東 吉村,478(-2),ダート,1700,良,１勝クラス
202610020607,13,5,8,セルジュバローズ,牡3,55.0,コレッ,0:1:50.0,4,10,61.2,43.6,,栗東 池江,518(+8),ダート,1700,良,１勝クラス
202610020607,14,1,1,ジェバーダ,牝4,54.0,◇永島,0:1:53.2,大,12,97.9,45.0,,栗東 松下,510(+6),ダート,1700,良,１勝クラス
202610020607,中止,5,9,キアヌ,牡4,58.0,藤懸,,,15,157.3,,,栗東 小崎,498(-2),ダート,1700,良,１勝クラス
