,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,調教師,course_len,weather,race_type,ground_state,date,class,horse_id,jockey_id
202610020701,1,2,2,セイウンパシュート,セ6,60,五十嵐雄,0:3:14.1,,1-1-1-1,13.6,4.2,2,452,[東]上原博之,2860,曇,障害,稍重,2026年07月18日,未勝利,2020100233,01069
202610020701,2,5,6,メイショウトム,牡5,60,難波剛健,0:3:14.6,3,3-3-2-2,13.6,9.4,7,484,[西]谷潔,2860,曇,障害,稍重,2026年07月18日,未勝利,2021110065,01066
202610020701,3,7,9,セイフウサツキ,牡4,60,高田潤,0:3:15.2,3.1/2,5-6-5-5,13.7,6.9,4,472,[西]松永幹夫,2860,曇,障害,稍重,2026年07月18日,未勝利,2022101461,01046
202610020701,4,8,11,タイセイレスポンス,セ5,60,小牧加矢,0:3:15.2,ハナ,4-4-4-4,13.7,3.8,1,492,[西]安田翔伍,2860,曇,障害,稍重,2026年07月18日,未勝利,2021105646,01196
202610020701,5,6,7,コイヌール,セ5,60,伴啓太,0:3:15.2,アタマ,2-2-3-3,13.7,7.7,5,474,[東]柄崎将寿,2860,曇,障害,稍重,2026年07月18日,未勝利,2021106561,01149
202610020701,6,3,3,アドアプローズ,牡5,60,上野翔,0:3:15.4,3/4,9-8-6-6,13.7,77.0,11,484,[東]小手川準,2860,曇,障害,稍重,2026年07月18日,未勝利,2021107224,01087
202610020701,7,4,4,ホウオウスターツ,セ4,57,水沼元輝,0:3:16.3,5,7-7-8-8,13.7,19.1,8,464,[東]天間昭一,2860,曇,障害,稍重,2026年07月18日,未勝利,2022103528,01201
202610020701,8,5,5,トゥデイイズザデイ,牡7,57,井上敏樹,0:3:16.4,1.1/4,5-5-6-7,13.7,9.2,6,472,[西]池江泰寿,2860,曇,障害,稍重,2026年07月18日,未勝利,2019100628,01151
202610020701,9,7,10,エーオーキング,牡4,60,草野太郎,0:3:17.7,8,10-10-10-9,13.8,30.4,9,450,[東]久保田貴,2860,曇,障害,稍重,2026年07月18日,未勝利,2022102738,01113
202610020701,10,6,8,アスクアットバット,セ4,60,黒岩悠,0:3:19.0,8,12-12-11-11,13.9,76.3,10,478,[西]加藤公太,2860,曇,障害,稍重,2026年07月18日,未勝利,2022110139,01072
202610020701,11,8,12,スラッシュ,牡3,58,中村将之,0:3:19.1,3/4,10-10-9-9,13.9,211.7,12,470,[西]安達昭夫,2860,曇,障害,稍重,2026年07月18日,未勝利,2023103189,01101
202610020701,12,1,1,フジフォンテ,セ7,60,大江原圭,0:3:21.3,大,8-8-11-12,14.1,6.5,3,478,[東]粕谷昌央,2860,曇,障害,稍重,2026年07月18日,未勝利,2019105759,01120
